Trip_Distance_km,Time_of_Day,Day_of_Week,Passenger_Count,Traffic_Conditions,Weather,Base_Fare,Per_Km_Rate,Per_Minute_Rate,Trip_Duration_Minutes,Trip_Price
19.35,1,1,3.0,1,1,3.56,0.8,0.32,53.82,36.2624
47.59,2,1,1.0,3,1,2.7,0.62,0.43,40.57,52.9032
36.87,3,2,1.0,3,1,2.7,1.21,0.15,37.27,52.9032
30.33,3,1,4.0,1,1,3.48,0.51,0.15,116.81,36.4698
8.64,3,1,3.0,3,1,2.93,0.63,0.32,22.64,15.618000000000002
8.64,2,2,2.0,2,1,2.55,1.71,0.48,89.33,60.2028
3.85,2,1,4.0,3,2,3.51,1.66,0.23,5.05,11.2645
43.44,3,2,3.0,3,1,2.97,1.87,0.23,110.33,101.1216
30.45,1,1,3.0,3,1,2.77,1.78,0.34,110.33,75.5657
35.7,2,1,2.0,1,2,3.39,1.52,0.47,26.34,75.5657
48.53,1,1,4.0,1,1,2.4,0.58,0.43,26.34,14.892
48.53,4,1,3.0,1,1,4.78,1.77,0.5,79.94,88.13279999999999
41.79,4,2,3.0,3,1,4.6,1.77,0.11,86.95,88.13279999999999
11.4,1,1,3.0,3,1,4.12,1.26,0.15,84.12,36.118
9.91,3,1,2.0,3,1,2.32,1.26,0.34,41.72,28.9914
9.99,4,1,4.0,3,1,4.33,0.85,0.43,34.0,27.4415
15.91,1,1,4.0,1,1,4.42,1.77,0.21,114.93,56.716
26.71,2,2,4.0,1,2,4.3,1.59,0.2,111.18,69.0049
22.17,4,2,4.0,1,1,2.34,1.97,0.41,57.59,69.6268
15.27,1,2,1.0,1,1,3.93,0.73,0.12,57.02,27.3543
30.98,2,2,1.0,1,2,4.5,0.84,0.25,57.02,44.7782
7.84,1,1,4.0,2,2,3.73,0.82,0.3,53.8,26.298799999999996
105.94355003672597,4,2,2.0,1,2,3.94,1.69,0.32,23.03,201.86950918612797
18.95,4,1,1.0,1,1,3.38,0.78,0.39,54.04,39.2366
23.35,4,1,3.0,1,2,3.59,0.6,0.24,66.8,33.632000000000005
39.47,2,1,1.0,1,1,3.92,0.54,0.35,7.59,83.69649999999999
10.78,3,2,3.0,3,2,3.92,0.54,0.33,56.07,28.2443
138.09832791310237,3,2,4.0,2,2,2.24,1.75,0.32,94.86,280.87730155406564
30.03,3,1,1.0,3,1,3.31,1.05,0.36,83.21,64.7971
3.28,3,1,2.0,2,1,2.88,1.76,0.2,78.04,24.260800000000003
30.77,1,1,1.0,1,1,3.64,1.33,0.13,109.6,58.8121
